number_electoral_district,name_electoral_district,number_federal_state,federal_state
208,Neustadt - Speyer,07,Rheinland-Pfalz
209,Kaiserslautern,07,Rheinland-Pfalz
210,Pirmasens,07,Rheinland-Pfalz
211,Südpfalz,07,Rheinland-Pfalz
212,Altötting,09,Bayern
213,Erding - Ebersberg,09,Bayern
214,Freising,09,Bayern
215,Fürstenfeldbruck,09,Bayern
216,Ingolstadt,09,Bayern
217,München-Nord,09,Bayern
218,München-Ost,09,Bayern
219,München-Süd,09,Bayern
220,München-West/Mitte,09,Bayern
221,München-Land,09,Bayern
222,Rosenheim,09,Bayern
223,Bad Tölz-Wolfratshausen - Miesbach,09,Bayern
224,Starnberg - Landsberg am Lech,09,Bayern
225,Traunstein,09,Bayern
226,Weilheim,09,Bayern
227,Deggendorf,09,Bayern
228,Landshut,09,Bayern
229,Passau,09,Bayern
230,Rottal-Inn,09,Bayern
231,Straubing,09,Bayern
232,Amberg,09,Bayern
233,Regensburg,09,Bayern
234,Schwandorf,09,Bayern
235,Weiden,09,Bayern
236,Bamberg,09,Bayern
237,Bayreuth,09,Bayern
238,Coburg,09,Bayern
239,Hof,09,Bayern
240,Kulmbach,09,Bayern
241,Ansbach,09,Bayern
242,Erlangen,09,Bayern
243,Fürth,09,Bayern
244,Nürnberg-Nord,09,Bayern
245,Nürnberg-Süd,09,Bayern
246,Roth,09,Bayern
247,Aschaffenburg,09,Bayern
248,Bad Kissingen,09,Bayern
249,Main-Spessart,09,Bayern
250,Schweinfurt,09,Bayern
251,Würzburg,09,Bayern
252,Augsburg-Stadt,09,Bayern
253,Augsburg-Land,09,Bayern
254,Donau-Ries,09,Bayern
255,Neu-Ulm,09,Bayern
256,Oberallgäu,09,Bayern
257,Ostallgäu,09,Bayern
258,Stuttgart I,08,Baden-Württemberg
259,Stuttgart II,08,Baden-Württemberg
260,Böblingen,08,Baden-Württemberg
261,Esslingen,08,Baden-Württemberg
262,Nürtingen,08,Baden-Württemberg
263,Göppingen,08,Baden-Württemberg
264,Waiblingen,08,Baden-Württemberg
265,Ludwigsburg,08,Baden-Württemberg
266,Neckar-Zaber,08,Baden-Württemberg
267,Heilbronn,08,Baden-Württemberg
268,Schwäbisch Hall - Hohenlohe,08,Baden-Württemberg
269,Backnang - Schwäbisch Gmünd,08,Baden-Württemberg
270,Aalen - Heidenheim,08,Baden-Württemberg
271,Karlsruhe-Stadt,08,Baden-Württemberg
272,Karlsruhe-Land,08,Baden-Württemberg
273,Rastatt,08,Baden-Württemberg
274,Heidelberg,08,Baden-Württemberg
275,Mannheim,08,Baden-Württemberg
276,Odenwald - Tauber,08,Baden-Württemberg
277,Rhein-Neckar,08,Baden-Württemberg
278,Bruchsal - Schwetzingen,08,Baden-Württemberg
279,Pforzheim,08,Baden-Württemberg
280,Calw,08,Baden-Württemberg
281,Freiburg,08,Baden-Württemberg
282,Lörrach - Müllheim,08,Baden-Württemberg
283,Emmendingen - Lahr,08,Baden-Württemberg
284,Offenburg,08,Baden-Württemberg
285,Rottweil - Tuttlingen,08,Baden-Württemberg
286,Schwarzwald-Baar,08,Baden-Württemberg
287,Konstanz,08,Baden-Württemberg
288,Waldshut,08,Baden-Württemberg
289,Reutlingen,08,Baden-Württemberg
290,Tübingen,08,Baden-Württemberg
291,Ulm,08,Baden-Württemberg
292,Biberach,08,Baden-Württemberg
293,Bodensee,08,Baden-Württemberg
294,Ravensburg,08,Baden-Württemberg
295,Zollernalb - Sigmaringen,08,Baden-Württemberg
296,Saarbrücken,10,Saarland
297,Saarlouis,10,Saarland
298,St. Wendel,10,Saarland
299,Homburg,10,Saarland
