state,county,year_short,candidate_votes,party,county_fips,year
ALABAMA,DALE,2004,13621,REPUBLICAN,01045,1970-01-01 00:00:00.000002004
ALABAMA,DALE,2008,13886,REPUBLICAN,01045,1970-01-01 00:00:00.000002008
ALABAMA,DALE,2012,13108,REPUBLICAN,01045,1970-01-01 00:00:00.000002012
ALABAMA,DALE,2016,13808,REPUBLICAN,01045,1970-01-01 00:00:00.000002016
ALABAMA,DALE,2020,14303,REPUBLICAN,01045,1970-01-01 00:00:00.000002020
ALABAMA,DALLAS,2000,10967,DEMOCRAT,01047,1970-01-01 00:00:00.000002000
ALABAMA,DALLAS,2004,11175,DEMOCRAT,01047,1970-01-01 00:00:00.000002004
ALABAMA,DALLAS,2008,13986,DEMOCRAT,01047,1970-01-01 00:00:00.000002008
ALABAMA,DALLAS,2012,14612,DEMOCRAT,01047,1970-01-01 00:00:00.000002012
ALABAMA,DALLAS,2016,12836,DEMOCRAT,01047,1970-01-01 00:00:00.000002016
ALABAMA,DALLAS,2020,12230,DEMOCRAT,01047,1970-01-01 00:00:00.000002020
ALABAMA,DEKALB,2000,12827,REPUBLICAN,01049,1970-01-01 00:00:00.000002000
ALABAMA,DEKALB,2004,16904,REPUBLICAN,01049,1970-01-01 00:00:00.000002004
ALABAMA,DEKALB,2008,17957,REPUBLICAN,01049,1970-01-01 00:00:00.000002008
ALABAMA,DEKALB,2012,18331,REPUBLICAN,01049,1970-01-01 00:00:00.000002012
ALABAMA,DEKALB,2016,21405,REPUBLICAN,01049,1970-01-01 00:00:00.000002016
ALABAMA,DEKALB,2020,24767,REPUBLICAN,01049,1970-01-01 00:00:00.000002020
ALABAMA,ELMORE,2000,16777,REPUBLICAN,01051,1970-01-01 00:00:00.000002000
ALABAMA,ELMORE,2004,22056,REPUBLICAN,01051,1970-01-01 00:00:00.000002004
ALABAMA,ELMORE,2008,25777,REPUBLICAN,01051,1970-01-01 00:00:00.000002008
ALABAMA,ELMORE,2012,26253,REPUBLICAN,01051,1970-01-01 00:00:00.000002012
ALABAMA,ELMORE,2016,27634,REPUBLICAN,01051,1970-01-01 00:00:00.000002016
ALABAMA,ELMORE,2020,30164,REPUBLICAN,01051,1970-01-01 00:00:00.000002020
ALABAMA,ESCAMBIA,2000,6975,REPUBLICAN,01053,1970-01-01 00:00:00.000002000
ALABAMA,ESCAMBIA,2004,8513,REPUBLICAN,01053,1970-01-01 00:00:00.000002004
ALABAMA,ESCAMBIA,2008,9375,REPUBLICAN,01053,1970-01-01 00:00:00.000002008
ALABAMA,ESCAMBIA,2012,9287,REPUBLICAN,01053,1970-01-01 00:00:00.000002012
ALABAMA,ESCAMBIA,2016,9935,REPUBLICAN,01053,1970-01-01 00:00:00.000002016
ALABAMA,ESCAMBIA,2020,10869,REPUBLICAN,01053,1970-01-01 00:00:00.000002020
ALABAMA,ETOWAH,2000,21087,REPUBLICAN,01055,1970-01-01 00:00:00.000002000
ALABAMA,ETOWAH,2004,26999,REPUBLICAN,01055,1970-01-01 00:00:00.000002004
ALABAMA,ETOWAH,2008,30595,REPUBLICAN,01055,1970-01-01 00:00:00.000002008
